Zip,Year,month,MeanTemperature,MaxTemperature,MinTemperature
60601,2010,1,46,39,34
60601,2010,2,42,35,33
60601,2010,3,77,64,51
60601,2010,4,83,72,62
60601,2010,5,91,81,70
60601,2010,6,90,79,72
60601,2010,7,94,85,78
60601,2010,8,94,84,75
60601,2010,9,89,78,71
60601,2010,10,86,71,57
60601,2010,11,69,57,48
60601,2010,12,53,47,41
60601,2011,1,41,30,26
60601,2011,2,56,52,47
60601,2011,3,67,58,48
60601,2011,4,83,70,56
60601,2011,5,90,77,69
60601,2011,6,96,86,75
60601,2011,7,99,87,80
60601,2011,8,93,84,74
60601,2011,9,93,84,76
60601,2011,10,84,69,57
60601,2011,11,70,59,51
60601,2011,12,57,48,41
60601,2012,1,57,50,43
60601,2012,2,59,47,35
60601,2012,3,87,74,63
60601,2012,4,77,69,61
60601,2012,5,97,86,77
60601,2012,6,100,88,78
60601,2012,7,103,93,82
60601,2012,8,95,83,72
60601,2012,9,90,80,73
60601,2012,10,78,68,59
60601,2012,11,70,58,50
60601,2012,12,70,58,46
60601,2013,1,63,51,39
60601,2013,2,52,40,33
60601,2013,3,59,48,39
60601,2013,4,85,73,61
60601,2013,5,91,77,65
60601,2013,6,90,78,69
60601,2013,7,96,86,77
60601,2013,8,96,87,77
60601,2013,9,95,86,77
60601,2013,10,80,71,65
60601,2013,11,69,56,50
60601,2013,12,56,48,39
60601,2014,1,45,36,31
60601,2014,2,49,42,34
60601,2014,3,68,55,41
60601,2014,4,80,66,58
60601,2014,5,89,75,64
60601,2014,6,91,84,77
60601,2014,7,90,80,71
60601,2014,8,88,80,72
60601,2014,9,88,78,71
60601,2014,10,77,68,63
60601,2014,11,62,53,48
60601,2014,12,50,48,45
60601,2015,1,43,36,29
60601,2015,2,41,32,25
60601,2015,3,73,58,42
60601,2015,4,78,62,50
60601,2015,5,83,74,66
60601,2015,6,92,80,68
60601,2015,7,92,82,73
60601,2015,8,92,80,71
60601,2015,9,92,82,76
60601,2015,10,79,66,57
60601,2015,11,72,65,59
60601,2015,12,61,55,48
60601,2016,1,48,41,36
60601,2016,2,62,52,41
60601,2016,3,70,64,58
60601,2016,4,83,71,58
60601,2016,5,87,75,66
60601,2016,6,93,82,72
60601,2016,7,93,82,74
60601,2016,8,92,83,74
60601,2016,9,91,83,75
60601,2016,10,82,75,67
60601,2016,11,75,68,61
60601,2016,12,54,41,35
60601,2017,1,59,50,40
60601,2017,2,70,59,50
60601,2017,3,82,62,52
60601,2017,4,82,72,61
60601,2017,5,87,74,62
60601,2017,6,95,84,73
60601,2017,7,93,81,75
60601,2017,8,90,79,72
60601,2017,9,95,84,72
60601,2017,10,83,73,67
60601,2017,11,63,52,44
60601,2017,12,65,55,44
60602,2010,1,46,39,34
60602,2010,2,42,35,33
60602,2010,3,77,64,51
60602,2010,4,83,72,62
60602,2010,5,91,81,70
60602,2010,6,90,79,72
60602,2010,7,94,85,78
60602,2010,8,94,84,75
60602,2010,9,89,78,71
60602,2010,10,86,71,57
60602,2010,11,69,57,48
60602,2010,12,53,47,41
60602,2011,1,41,30,26
60602,2011,2,56,52,47
60602,2011,3,67,58,48
60602,2011,4,83,70,56
60602,2011,5,90,77,69
60602,2011,6,96,86,75
60602,2011,7,99,87,80
60602,2011,8,93,84,74
60602,2011,9,93,84,76
60602,2011,10,84,69,57
60602,2011,11,70,59,51
60602,2011,12,57,48,41
60602,2012,1,57,50,43
60602,2012,2,59,47,35
60602,2012,3,87,74,63
60602,2012,4,77,69,61
60602,2012,5,97,86,77
60602,2012,6,100,88,78
60602,2012,7,103,93,82
60602,2012,8,95,83,72
60602,2012,9,90,80,73
60602,2012,10,78,68,59
60602,2012,11,70,58,50
60602,2012,12,70,58,46
60602,2013,1,63,51,39
60602,2013,2,52,40,33
60602,2013,3,59,48,39
60602,2013,4,85,73,61
60602,2013,5,91,77,65
60602,2013,6,90,78,69
60602,2013,7,96,86,77
60602,2013,8,96,87,77
60602,2013,9,95,86,77
60602,2013,10,80,71,65
60602,2013,11,69,56,50
60602,2013,12,56,48,39
60602,2014,1,45,36,31
60602,2014,2,49,42,34
60602,2014,3,68,55,41
60602,2014,4,80,66,58
60602,2014,5,89,75,64
60602,2014,6,91,84,77
60602,2014,7,90,80,71
60602,2014,8,88,80,72
60602,2014,9,88,78,71
60602,2014,10,77,68,63
60602,2014,11,62,53,48
60602,2014,12,50,48,45
60602,2015,1,43,36,29
60602,2015,2,41,32,25
60602,2015,3,73,58,42
60602,2015,4,78,62,50
60602,2015,5,83,74,66
60602,2015,6,92,80,68
60602,2015,7,92,82,73
60602,2015,8,92,80,71
60602,2015,9,92,82,76
60602,2015,10,79,66,57
60602,2015,11,72,65,59
60602,2015,12,61,55,48
60602,2016,1,48,41,36
60602,2016,2,62,52,41
60602,2016,3,70,64,58
60602,2016,4,83,71,58
60602,2016,5,87,75,66
60602,2016,6,93,82,72
60602,2016,7,93,82,74
60602,2016,8,92,83,74
60602,2016,9,91,83,75
60602,2016,10,82,75,67
60602,2016,11,75,68,61
60602,2016,12,54,41,35
60602,2017,1,59,50,40
60602,2017,2,70,59,50
60602,2017,3,82,62,52
60602,2017,4,82,72,61
60602,2017,5,87,74,62
60602,2017,6,95,84,73
60602,2017,7,93,81,75
60602,2017,8,90,79,72
60602,2017,9,95,84,72
60602,2017,10,83,73,67
60602,2017,11,63,52,44
60602,2017,12,65,55,44
60603,2010,1,46,39,34
60603,2010,2,42,35,33
60603,2010,3,77,64,51
60603,2010,4,83,72,62
60603,2010,5,91,81,70
60603,2010,6,90,79,72
60603,2010,7,94,85,78
60603,2010,8,94,84,75
60603,2010,9,89,78,71
60603,2010,10,86,71,57
60603,2010,11,69,57,48
60603,2010,12,53,47,41
60603,2011,1,41,30,26
60603,2011,2,56,52,47
60603,2011,3,67,58,48
60603,2011,4,83,70,56
60603,2011,5,90,77,69
60603,2011,6,96,86,75
60603,2011,7,99,87,80
60603,2011,8,93,84,74
60603,2011,9,93,84,76
60603,2011,10,84,69,57
60603,2011,11,70,59,51
60603,2011,12,57,48,41
60603,2012,1,57,50,43
60603,2012,2,59,47,35
60603,2012,3,87,74,63
60603,2012,4,77,69,61
60603,2012,5,97,86,77
60603,2012,6,100,88,78
60603,2012,7,103,93,82
60603,2012,8,95,83,72
60603,2012,9,90,80,73
60603,2012,10,78,68,59
60603,2012,11,70,58,50
60603,2012,12,70,58,46
60603,2013,1,63,51,39
60603,2013,2,52,40,33
60603,2013,3,59,48,39
60603,2013,4,85,73,61
60603,2013,5,91,77,65
60603,2013,6,90,78,69
60603,2013,7,96,86,77
60603,2013,8,96,87,77
60603,2013,9,95,86,77
60603,2013,10,80,71,65
60603,2013,11,69,56,50
60603,2013,12,56,48,39
60603,2014,1,45,36,31
60603,2014,2,49,42,34
60603,2014,3,68,55,41
60603,2014,4,80,66,58
60603,2014,5,89,75,64
60603,2014,6,91,84,77
60603,2014,7,90,80,71
60603,2014,8,88,80,72
60603,2014,9,88,78,71
60603,2014,10,77,68,63
60603,2014,11,62,53,48
60603,2014,12,50,48,45
60603,2015,1,43,36,29
60603,2015,2,41,32,25
60603,2015,3,73,58,42
60603,2015,4,78,62,50
60603,2015,5,83,74,66
60603,2015,6,92,80,68
60603,2015,7,92,82,73
60603,2015,8,92,80,71
60603,2015,9,92,82,76
60603,2015,10,79,66,57
60603,2015,11,72,65,59
60603,2015,12,61,55,48
60603,2016,1,48,41,36
60603,2016,2,62,52,41
60603,2016,3,70,64,58
60603,2016,4,83,71,58
60603,2016,5,87,75,66
60603,2016,6,93,82,72
60603,2016,7,93,82,74
60603,2016,8,92,83,74
60603,2016,9,91,83,75
60603,2016,10,82,75,67
60603,2016,11,75,68,61
60603,2016,12,54,41,35
60603,2017,1,59,50,40
60603,2017,2,70,59,50
60603,2017,3,82,62,52
60603,2017,4,82,72,61
60603,2017,5,87,74,62
60603,2017,6,95,84,73
60603,2017,7,93,81,75
60603,2017,8,90,79,72
60603,2017,9,95,84,72
60603,2017,10,83,73,67
60603,2017,11,63,52,44
60603,2017,12,65,55,44
60604,2010,1,46,39,34
60604,2010,2,42,35,33
60604,2010,3,77,64,51
60604,2010,4,83,72,62
60604,2010,5,91,81,70
60604,2010,6,90,79,72
60604,2010,7,94,85,78
60604,2010,8,94,84,75
60604,2010,9,89,78,71
60604,2010,10,86,71,57
60604,2010,11,69,57,48
60604,2010,12,53,47,41
60604,2011,1,41,30,26
60604,2011,2,56,52,47
60604,2011,3,67,58,48
60604,2011,4,83,70,56
60604,2011,5,90,77,69
60604,2011,6,96,86,75
60604,2011,7,99,87,80
60604,2011,8,93,84,74
60604,2011,9,93,84,76
60604,2011,10,84,69,57
60604,2011,11,70,59,51
60604,2011,12,57,48,41
60604,2012,1,57,50,43
60604,2012,2,59,47,35
60604,2012,3,87,74,63
60604,2012,4,77,69,61
60604,2012,5,97,86,77
60604,2012,6,100,88,78
60604,2012,7,103,93,82
60604,2012,8,95,83,72
60604,2012,9,90,80,73
60604,2012,10,78,68,59
60604,2012,11,70,58,50
60604,2012,12,70,58,46
60604,2013,1,63,51,39
60604,2013,2,52,40,33
60604,2013,3,59,48,39
60604,2013,4,85,73,61
60604,2013,5,91,77,65
60604,2013,6,90,78,69
60604,2013,7,96,86,77
60604,2013,8,96,87,77
60604,2013,9,95,86,77
60604,2013,10,80,71,65
60604,2013,11,69,56,50
60604,2013,12,56,48,39
60604,2014,1,45,36,31
60604,2014,2,49,42,34
60604,2014,3,68,55,41
60604,2014,4,80,66,58
60604,2014,5,89,75,64
60604,2014,6,91,84,77
60604,2014,7,90,80,71
60604,2014,8,88,80,72
60604,2014,9,88,78,71
60604,2014,10,77,68,63
60604,2014,11,62,53,48
60604,2014,12,50,48,45
60604,2015,1,43,36,29
60604,2015,2,41,32,25
60604,2015,3,73,58,42
60604,2015,4,78,62,50
60604,2015,5,83,74,66
60604,2015,6,92,80,68
60604,2015,7,92,82,73
60604,2015,8,92,80,71
60604,2015,9,92,82,76
60604,2015,10,79,66,57
60604,2015,11,72,65,59
60604,2015,12,61,55,48
60604,2016,1,48,41,36
60604,2016,2,62,52,41
60604,2016,3,70,64,58
60604,2016,4,83,71,58
60604,2016,5,87,75,66
60604,2016,6,93,82,72
60604,2016,7,93,82,74
60604,2016,8,92,83,74
60604,2016,9,91,83,75
60604,2016,10,82,75,67
60604,2016,11,75,68,61
60604,2016,12,54,41,35
60604,2017,1,59,50,40
60604,2017,2,70,59,50
60604,2017,3,82,62,52
60604,2017,4,82,72,61
60604,2017,5,87,74,62
60604,2017,6,95,84,73
60604,2017,7,93,81,75
60604,2017,8,90,79,72
60604,2017,9,95,84,72
60604,2017,10,83,73,67
60604,2017,11,63,52,44
60604,2017,12,65,55,44
60605,2010,1,46,39,34
60605,2010,2,42,35,33
60605,2010,3,77,64,51
60605,2010,4,83,72,62
60605,2010,5,91,81,70
60605,2010,6,90,79,72
60605,2010,7,94,85,78
60605,2010,8,94,84,75
60605,2010,9,89,78,71
60605,2010,10,86,71,57
60605,2010,11,69,57,48
60605,2010,12,53,47,41
60605,2011,1,41,30,26
60605,2011,2,56,52,47
60605,2011,3,67,58,48
60605,2011,4,83,70,56
60605,2011,5,90,77,69
60605,2011,6,96,86,75
60605,2011,7,99,87,80
60605,2011,8,93,84,74
60605,2011,9,93,84,76
60605,2011,10,84,69,57
60605,2011,11,70,59,51
60605,2011,12,57,48,41
60605,2012,1,57,50,43
60605,2012,2,59,47,35
60605,2012,3,87,74,63
60605,2012,4,77,69,61
60605,2012,5,97,86,77
60605,2012,6,100,88,78
60605,2012,7,103,93,82
60605,2012,8,95,83,72
60605,2012,9,90,80,73
60605,2012,10,78,68,59
60605,2012,11,70,58,50
60605,2012,12,70,58,46
60605,2013,1,63,51,39
60605,2013,2,52,40,33
60605,2013,3,59,48,39
60605,2013,4,85,73,61
60605,2013,5,91,77,65
60605,2013,6,90,78,69
60605,2013,7,96,86,77
60605,2013,8,96,87,77
60605,2013,9,95,86,77
60605,2013,10,80,71,65
60605,2013,11,69,56,50
60605,2013,12,56,48,39
60605,2014,1,45,36,31
60605,2014,2,49,42,34
60605,2014,3,68,55,41
60605,2014,4,80,66,58
60605,2014,5,89,75,64
60605,2014,6,91,84,77
60605,2014,7,90,80,71
60605,2014,8,88,80,72
60605,2014,9,88,78,71
60605,2014,10,77,68,63
60605,2014,11,62,53,48
60605,2014,12,50,48,45
60605,2015,1,43,36,29
60605,2015,2,41,32,25
60605,2015,3,73,58,42
60605,2015,4,78,62,50
60605,2015,5,83,74,66
60605,2015,6,92,80,68
60605,2015,7,92,82,73
60605,2015,8,92,80,71
60605,2015,9,92,82,76
60605,2015,10,79,66,57
60605,2015,11,72,65,59
60605,2015,12,61,55,48
60605,2016,1,48,41,36
60605,2016,2,62,52,41
60605,2016,3,70,64,58
60605,2016,4,83,71,58
60605,2016,5,87,75,66
60605,2016,6,93,82,72
60605,2016,7,93,82,74
60605,2016,8,92,83,74
60605,2016,9,91,83,75
60605,2016,10,82,75,67
60605,2016,11,75,68,61
60605,2016,12,54,41,35
60605,2017,1,59,50,40
60605,2017,2,70,59,50
60605,2017,3,82,62,52
60605,2017,4,82,72,61
60605,2017,5,87,74,62
60605,2017,6,95,84,73
60605,2017,7,93,81,75
60605,2017,8,90,79,72
60605,2017,9,95,84,72
60605,2017,10,83,73,67
60605,2017,11,63,52,44
60605,2017,12,65,55,44
60606,2010,1,46,39,34
60606,2010,2,42,35,33
60606,2010,3,77,64,51
60606,2010,4,83,72,62
60606,2010,5,91,81,70
60606,2010,6,90,79,72
60606,2010,7,94,85,78
60606,2010,8,94,84,75
60606,2010,9,89,78,71
60606,2010,10,86,71,57
60606,2010,11,69,57,48
60606,2010,12,53,47,41
60606,2011,1,41,30,26
60606,2011,2,56,52,47
60606,2011,3,67,58,48
60606,2011,4,83,70,56
60606,2011,5,90,77,69
60606,2011,6,96,86,75
60606,2011,7,99,87,80
60606,2011,8,93,84,74
60606,2011,9,93,84,76
60606,2011,10,84,69,57
60606,2011,11,70,59,51
60606,2011,12,57,48,41
60606,2012,1,57,50,43
60606,2012,2,59,47,35
60606,2012,3,87,74,63
60606,2012,4,77,69,61
60606,2012,5,97,86,77
60606,2012,6,100,88,78
60606,2012,7,103,93,82
60606,2012,8,95,83,72
60606,2012,9,90,80,73
60606,2012,10,78,68,59
60606,2012,11,70,58,50
60606,2012,12,70,58,46
60606,2013,1,63,51,39
60606,2013,2,52,40,33
60606,2013,3,59,48,39
60606,2013,4,85,73,61
60606,2013,5,91,77,65
60606,2013,6,90,78,69
60606,2013,7,96,86,77
60606,2013,8,96,87,77
60606,2013,9,95,86,77
60606,2013,10,80,71,65
60606,2013,11,69,56,50
60606,2013,12,56,48,39
60606,2014,1,45,36,31
60606,2014,2,49,42,34
60606,2014,3,68,55,41
60606,2014,4,80,66,58
60606,2014,5,89,75,64
60606,2014,6,91,84,77
60606,2014,7,90,80,71
60606,2014,8,88,80,72
60606,2014,9,88,78,71
60606,2014,10,77,68,63
60606,2014,11,62,53,48
60606,2014,12,50,48,45
60606,2015,1,43,36,29
60606,2015,2,41,32,25
60606,2015,3,73,58,42
60606,2015,4,78,62,50
60606,2015,5,83,74,66
60606,2015,6,92,80,68
60606,2015,7,92,82,73
60606,2015,8,92,80,71
60606,2015,9,92,82,76
60606,2015,10,79,66,57
60606,2015,11,72,65,59
60606,2015,12,61,55,48
60606,2016,1,48,41,36
60606,2016,2,62,52,41
60606,2016,3,70,64,58
60606,2016,4,83,71,58
60606,2016,5,87,75,66
60606,2016,6,93,82,72
60606,2016,7,93,82,74
60606,2016,8,92,83,74
60606,2016,9,91,83,75
60606,2016,10,82,75,67
60606,2016,11,75,68,61
60606,2016,12,54,41,35
60606,2017,1,59,50,40
60606,2017,2,70,59,50
60606,2017,3,82,62,52
60606,2017,4,82,72,61
60606,2017,5,87,74,62
60606,2017,6,95,84,73
60606,2017,7,93,81,75
60606,2017,8,90,79,72
60606,2017,9,95,84,72
60606,2017,10,83,73,67
60606,2017,11,63,52,44
60606,2017,12,65,55,44
60607,2010,1,46,39,34
60607,2010,2,42,35,33
60607,2010,3,77,64,51
60607,2010,4,83,72,62
60607,2010,5,91,81,70
60607,2010,6,90,79,72
60607,2010,7,94,85,78
60607,2010,8,94,84,75
60607,2010,9,89,78,71
60607,2010,10,86,71,57
60607,2010,11,69,57,48
60607,2010,12,53,47,41
60607,2011,1,41,30,26
60607,2011,2,56,52,47
60607,2011,3,67,58,48
60607,2011,4,83,70,56
60607,2011,5,90,77,69
60607,2011,6,96,86,75
60607,2011,7,99,87,80
60607,2011,8,93,84,74
60607,2011,9,93,84,76
60607,2011,10,84,69,57
60607,2011,11,70,59,51
60607,2011,12,57,48,41
60607,2012,1,57,50,43
60607,2012,2,59,47,35
60607,2012,3,87,74,63
60607,2012,4,77,69,61
60607,2012,5,97,86,77
60607,2012,6,100,88,78
60607,2012,7,103,93,82
60607,2012,8,95,83,72
60607,2012,9,90,80,73
60607,2012,10,78,68,59
60607,2012,11,70,58,50
60607,2012,12,70,58,46
60607,2013,1,63,51,39
60607,2013,2,52,40,33
60607,2013,3,59,48,39
60607,2013,4,85,73,61
60607,2013,5,91,77,65
60607,2013,6,90,78,69
60607,2013,7,96,86,77
60607,2013,8,96,87,77
60607,2013,9,95,86,77
60607,2013,10,80,71,65
60607,2013,11,69,56,50
60607,2013,12,56,48,39
60607,2014,1,45,36,31
60607,2014,2,49,42,34
60607,2014,3,68,55,41
60607,2014,4,80,66,58
60607,2014,5,89,75,64
60607,2014,6,91,84,77
60607,2014,7,90,80,71
60607,2014,8,88,80,72
60607,2014,9,88,78,71
60607,2014,10,77,68,63
60607,2014,11,62,53,48
60607,2014,12,50,48,45
60607,2015,1,43,36,29
60607,2015,2,41,32,25
60607,2015,3,73,58,42
60607,2015,4,78,62,50
60607,2015,5,83,74,66
60607,2015,6,92,80,68
60607,2015,7,92,82,73
60607,2015,8,92,80,71
60607,2015,9,92,82,76
60607,2015,10,79,66,57
60607,2015,11,72,65,59
60607,2015,12,61,55,48
60607,2016,1,48,41,36
60607,2016,2,62,52,41
60607,2016,3,70,64,58
60607,2016,4,83,71,58
60607,2016,5,87,75,66
60607,2016,6,93,82,72
60607,2016,7,93,82,74
60607,2016,8,92,83,74
60607,2016,9,91,83,75
60607,2016,10,82,75,67
60607,2016,11,75,68,61
60607,2016,12,54,41,35
60607,2017,1,59,50,40
60607,2017,2,70,59,50
60607,2017,3,82,62,52
60607,2017,4,82,72,61
60607,2017,5,87,74,62
60607,2017,6,95,84,73
60607,2017,7,93,81,75
60607,2017,8,90,79,72
60607,2017,9,95,84,72
60607,2017,10,83,73,67
60607,2017,11,63,52,44
60607,2017,12,65,55,44
